"spot","x","y","count","avgSeconds","medianSeconds","totalSeconds","radiantCount","radiantTotal","direCount","direTotal"
"164,134","164","134","158","196","164","31009","88","16287","70","14722"
"136,156","136","156","152","216","209","32795","70","13761","82","19034"
"94,120","94","120","138","198","176","27281","69","15302","69","11979"
"118,94","118","94","128","219","225","27984","68","15380","60","12604"
"136,108","136","108","61","317","360","19324","52","16700","9","2624"
"152,96","152","96","49","301","360","14743","38","11799","11","2944"
"116,144","116","144","41","234","360","9603","10","2534","31","7069"
"126,108","126","108","37","292","360","10802","5","1485","32","9317"
"134,112","134","112","36","274","360","9849","23","6228","13","3621"
"90,146","90","146","35","260","360","9114","20","5450","15","3664"
"150,116","150","116","28","259","340","7253","13","3235","15","4018"
"142,102","142","102","23","292","360","6727","14","4754","9","1973"
"144,62","144","62","23","280","360","6445","13","3660","10","2785"
"110,130","110","130","22","262","360","5765","18","5306","4","459"
"144,122","144","122","21","346","360","7262","5","1800","16","5462"
"116,188","116","188","20","323","360","6462","8","2567","12","3895"
"194,82","194","82","20","313","360","6252","13","4653","7","1599"
"193,82","193","82","20","309","360","6186","10","3438","10","2748"
"174,72","174","72","20","303","360","6060","7","2359","13","3701"
"128,110","128","110","19","284","360","5387","13","3626","6","1761"
"100,136","100","136","19","232","360","4405","14","3069","5","1336"
"88,132","88","132","18","247","360","4453","5","787","13","3666"
"144,72","144","72","17","263","360","4465","2","572","15","3893"
"114,130","114","130","17","241","360","4094","13","3133","4","961"
"106,120","106","120","17","235","315","3988","2","457","15","3531"
"116,142","116","142","16","298","360","4764","3","737","13","4027"
"129,110","129","110","16","264","360","4232","8","2338","8","1894"
"102,186","102","186","15","333","360","5002","10","3202","5","1800"
"64,176","64","176","15","303","360","4538","6","2160","9","2378"
"148,118","148","118","15","260","360","3895","8","1844","7","2051"
"113,152","113","152","15","255","360","3818","11","2771","4","1047"
"154,74","154","74","14","302","359","4233","3","737","11","3496"
"138,124","138","124","14","296","360","4142","6","1570","8","2572"
"134,114","134","114","14","236","312","3301","12","3233","2","68"
"114,150","114","150","14","209","245","2925","9","1744","5","1181"
"142,122","142","122","13","337","360","4387","4","1147","9","3240"
"128,146","128","146","13","290","360","3766","10","2935","3","831"
"102,134","102","134","13","262","360","3411","9","2679","4","732"
