"spot","x","y","count","avgSeconds","medianSeconds","totalSeconds","radiantCount","radiantTotal","direCount","direTotal"
"118,94","118","94","112","228","224","25541","61","14345","51","11196"
"94,120","94","120","99","210","209","20763","47","10236","52","10527"
"164,134","164","134","81","183","145","14824","41","7385","40","7439"
"136,156","136","156","78","223","249","17412","38","8515","40","8897"
"188,116","188","116","41","273","360","11174","22","5585","19","5589"
"66,142","66","142","36","277","360","9982","20","6100","16","3882"
"144,62","144","62","36","274","360","9870","17","4685","19","5185"
"152,96","152","96","30","305","360","9155","22","6975","8","2180"
"116,144","116","144","29","234","332","6773","10","2088","19","4685"
"174,72","174","72","22","267","360","5866","5","1529","17","4337"
"124,130","124","130","18","256","360","4606","6","1302","12","3304"
"136,112","136","112","17","280","360","4767","12","3075","5","1692"
"104,132","104","132","15","250","360","3746","11","2677","4","1069"
"97,140","97","140","12","328","360","3938","10","3336","2","602"
"144,122","144","122","12","326","360","3914","5","1394","7","2520"
"126,108","126","108","12","279","360","3352","3","436","9","2916"
"142,102","142","102","12","261","360","3134","7","1674","5","1460"
"191,80","191","80","11","324","360","3564","5","1738","6","1826"
"116,142","116","142","11","251","300","2760","4","763","7","1997"
"110,130","110","130","11","214","360","2357","7","1560","4","797"
"112,130","112","130","11","190","181","2091","6","1468","5","623"
"155,74","155","74","10","350","360","3495","3","1080","7","2415"
"181,77","181","77","10","313","360","3129","7","2520","3","609"
"114,130","114","130","10","280","347","2802","8","2360","2","442"
"144,72","144","72","9","341","360","3065","1","185","8","2880"
"103,133","103","133","9","308","360","2774","5","1631","4","1143"
"126,157","126","157","9","308","360","2772","7","2052","2","720"
"93,145","93","145","9","308","360","2770","6","1690","3","1080"
"74,180","74","180","9","299","360","2694","5","1333","4","1361"
"150,116","150","116","9","270","360","2428","6","1690","3","738"
"126,120","126","120","9","258","360","2318","8","1958","1","360"
"193,80","193","80","8","302","360","2412","6","1692","2","720"
"192,80","192","80","8","286","360","2288","5","1800","3","488"
"103,117","103","117","8","250","322","2000","2","35","6","1965"
"96,154","96","154","8","244","360","1950","3","756","5","1194"
"164,112","164","112","8","235","275","1883","6","1635","2","248"
"91,131","91","131","8","150","100","1198","3","738","5","460"
"146,98","146","98","7","360","360","2520","5","1800","2","720"
"146,84","146","84","7","334","360","2335","2","589","5","1746"
"166,110","166","110","7","322","360","2256","3","816","4","1440"
"145,84","145","84","7","296","360","2075","5","1630","2","445"
"108,170","108","170","7","295","360","2068","5","1348","2","720"
"138,124","138","124","7","283","360","1980","3","783","4","1197"
"144,100","144","100","7","281","360","1964","6","1604","1","360"
"180,76","180","76","7","267","360","1870","5","1480","2","390"
"128,146","128","146","7","266","360","1860","6","1535","1","325"
"134,114","134","114","7","250","256","1751","2","377","5","1374"
"154,74","154","74","7","215","195","1504","2","378","5","1126"
"144,120","144","120","7","200","280","1399","1","4","6","1395"
"113,130","113","130","7","141","120","984","4","608","3","376"
"138,92","138","92","6","360","360","2160","4","1440","2","720"
"184,80","184","80","6","360","360","2160","3","1080","3","1080"
"149,117","149","117","6","344","360","2067","3","1080","3","987"
"168,126","168","126","6","311","360","1864","6","1864","0","0"
"94,135","94","135","6","301","360","1806","1","360","5","1446"
"190,80","190","80","6","301","360","1806","1","360","5","1446"
"168,125","168","125","6","297","360","1784","4","1218","2","566"
"126,158","126","158","6","274","360","1642","5","1606","1","36"
"138,103","138","103","6","272","267","1633","3","745","3","888"
