"spot","x","y","count","avgSeconds","medianSeconds","totalSeconds","radiantCount","radiantTotal","direCount","direTotal"
"158,92","158","92","569","218","223","124006","271","63082","298","60924"
"144,122","144","122","543","224","240","121400","245","52820","298","68580"
"122,156","122","156","406","235","282","95414","211","48709","195","46705"
"96,140","96","140","382","257","360","98088","217","60504","165","37584"
"94,120","94","120","355","196","172","69427","157","30365","198","39062"
"136,154","136","154","329","220","242","72442","176","41482","153","30960"
"164,134","164","134","326","198","182","64551","197","41302","129","23249"
"148,72","148","72","256","257","360","65698","119","29466","137","36232"
"116,182","116","182","235","260","360","61199","128","30768","107","30431"
"134,92","134","92","229","252","360","57779","93","23995","136","33784"
"188,116","188","116","157","284","360","44622","85","24546","72","20076"
"66,142","66","142","97","305","360","29614","41","13065","56","16549"
"128,114","128","114","91","266","360","24191","65","18445","26","5746"
"104,142","104","142","89","340","360","30240","59","20467","30","9773"
"106,154","106","154","71","322","360","22880","31","9978","40","12902"
"116,130","116","130","71","257","360","18239","53","13691","18","4548"
"136,112","136","112","69","327","360","22535","55","17577","14","4958"
"138,84","138","84","67","297","360","19913","19","5641","48","14272"
"172,72","172","72","67","279","360","18681","50","14351","17","4330"
"176,72","176","72","64","278","360","17761","31","9518","33","8243"
"118,140","118","140","64","238","318","15262","18","4214","46","11048"
"96,152","96","152","60","345","360","20676","7","2290","53","18386"
"118,148","118","148","53","303","360","16058","26","7582","27","8476"
"82,184","82","184","53","288","360","15249","17","4521","36","10728"
"127,114","127","114","52","265","360","13798","34","9170","18","4628"
"78,184","78","184","52","262","360","13646","30","6717","22","6929"
"116,142","116","142","48","318","360","15261","12","3617","36","11644"
"126,114","126","114","47","284","360","13337","26","7276","21","6061"
"102,72","102","72","39","210","248","8176","13","3400","26","4776"
"155,102","155","102","36","319","360","11491","28","8723","8","2768"
"172,71","172","71","35","292","360","10221","25","6957","10","3264"
"172,70","172","70","32","249","360","7973","22","5093","10","2880"
"117,141","117","141","31","305","360","9469","5","1515","26","7954"
"151,116","151","116","30","327","360","9823","4","1219","26","8604"
"106,170","106","170","30","302","360","9075","19","5919","11","3156"
"110,130","110","130","30","277","360","8314","24","7001","6","1313"
"142,120","142","120","30","274","360","8219","7","1894","23","6325"
"104,132","104","132","29","310","360","8995","18","5866","11","3129"
"126,120","126","120","29","236","348","6844","19","4723","10","2121"
"127,88","127","88","28","326","360","9120","4","1053","24","8067"
"114,170","114","170","28","317","360","8871","12","3613","16","5258"
"173,70","173","70","28","277","360","7764","14","4006","14","3758"
"155,136","155","136","27","259","315","7000","12","2772","15","4228"
"82,186","82","186","26","274","360","7111","10","2637","16","4474"
"108,98","108","98","26","266","299","6908","9","2467","17","4441"
"124,130","124","130","26","240","321","6239","5","1094","21","5145"
"82,185","82","185","25","293","360","7318","3","672","22","6646"
"82,187","82","187","25","288","360","7200","7","1887","18","5313"
"176,70","176","70","25","244","360","6098","16","3927","9","2171"
"128,196","128","196","24","277","360","6656","13","3443","11","3213"
"111,130","111","130","23","309","360","7116","15","4492","8","2624"
"149,115","149","115","22","311","360","6843","4","1061","18","5782"
"154,102","154","102","22","278","360","6126","14","3705","8","2421"
"133,125","133","125","22","253","360","5575","4","930","18","4645"
"135,113","135","113","21","331","360","6957","14","4556","7","2401"
"156,102","156","102","21","283","360","5935","16","4737","5","1198"
"124,134","124","134","21","197","147","4128","4","836","17","3292"
"122,168","122","168","20","304","360","6090","6","1929","14","4161"
"103,117","103","117","20","247","360","4946","2","488","18","4458"
"118,88","118","88","19","225","189","4272","11","1858","8","2414"
"104,150","104","150","18","326","360","5861","7","2249","11","3612"
"131,126","131","126","18","288","360","5175","1","52","17","5123"
"124,132","124","132","18","246","360","4436","1","36","17","4400"
"184,142","184","142","18","229","321","4120","6","1668","12","2452"
"167,150","167","150","18","135","101","2428","16","2034","2","394"
"126,88","126","88","17","309","360","5255","6","1567","11","3688"
"113,101","113","101","17","226","230","3840","11","2180","6","1660"
"152,179","152","179","17","199","174","3378","17","3378","0","0"
"85,103","85","103","17","84","79","1431","0","0","17","1431"
"188,108","188","108","16","346","360","5538","9","3018","7","2520"
"150,116","150","116","16","327","360","5239","7","2251","9","2988"
"140,88","140","88","16","313","360","5012","5","1702","11","3310"
"124,112","124","112","16","313","360","5010","2","720","14","4290"
"112,130","112","130","16","304","360","4868","11","3355","5","1513"
"129,118","129","118","16","299","360","4787","12","3642","4","1145"
"176,71","176","71","16","258","360","4130","8","2132","8","1998"
"117,126","117","126","16","226","219","3610","13","2620","3","990"
"136,140","136","140","16","216","220","3449","13","2810","3","639"
"113,144","113","144","15","328","360","4918","6","2012","9","2906"
"129,126","129","126","15","312","360","4678","7","2285","8","2393"
"139,100","139","100","15","303","360","4545","5","1605","10","2940"
"142,106","142","106","15","294","360","4417","7","2185","8","2232"
"144,106","144","106","15","291","360","4367","11","2927","4","1440"
"123,112","123","112","15","278","360","4177","2","720","13","3457"
"132,126","132","126","15","275","360","4132","3","1080","12","3052"
"134,125","134","125","15","258","360","3867","2","518","13","3349"
"116,129","116","129","15","248","360","3716","10","2627","5","1089"
"124,131","124","131","15","246","275","3688","2","720","13","2968"
"120,112","120","112","15","216","220","3246","8","1456","7","1790"
"79,184","79","184","15","210","214","3150","8","1619","7","1531"
"91,131","91","131","14","288","360","4039","4","1440","10","2599"
"70,132","70","132","14","265","347","3709","2","694","12","3015"
"161,121","161","121","14","264","360","3696","7","2270","7","1426"
"102,158","102","158","14","234","360","3277","8","1866","6","1411"
"130,118","130","118","14","223","223","3126","10","2366","4","760"
"124,133","124","133","14","206","164","2880","3","963","11","1917"
"180,100","180","100","13","334","360","4342","12","4190","1","152"
"163,113","163","113","13","318","360","4134","7","2297","6","1837"
"112,170","112","170","13","313","360","4067","3","1080","10","2987"
"145,106","145","106","13","309","360","4015","7","2070","6","1945"
"112,150","112","150","13","272","360","3534","9","2939","4","595"
"119,140","119","140","13","263","360","3420","2","425","11","2995"
"91,166","91","166","12","336","360","4034","6","1971","6","2063"
"142,122","142","122","12","333","360","4000","3","1080","9","2920"
"114,144","114","144","12","327","360","3926","2","720","10","3206"
"102,144","102","144","12","323","360","3873","6","1878","6","1995"
"103,132","103","132","12","314","360","3770","4","1317","8","2453"
"168,125","168","125","12","265","360","3177","12","3177","0","0"
"121,138","121","138","12","232","226","2785","5","876","7","1909"
"126,128","126","128","12","225","232","2695","6","1737","6","958"
"152,180","152","180","12","149","135","1792","10","1324","2","468"
"160,68","160","68","11","346","360","3808","2","720","9","3088"
"143,106","143","106","11","334","360","3671","7","2275","4","1396"
"107,188","107","188","11","326","360","3591","11","3591","0","0"
"160,121","160","121","11","312","360","3437","2","720","9","2717"
"135,124","135","124","11","292","360","3207","2","492","9","2715"
"122,136","122","136","11","285","360","3136","2","503","9","2633"
"103,118","103","118","11","285","360","3131","1","92","10","3039"
"130,126","130","126","11","262","360","2887","4","622","7","2265"
"160,120","160","120","11","260","360","2857","7","1696","4","1161"
"98,152","98","152","11","259","360","2846","6","1865","5","981"
