"spot","x","y","count","avgSeconds","medianSeconds","totalSeconds","radiantCount","radiantTotal","direCount","direTotal"
"94,120","94","120","253","230","272","58178","111","26731","142","31447"
"118,94","118","94","237","240","312","56909","118","29257","119","27652"
"136,156","136","156","202","237","290","47953","118","25753","84","22200"
"164,134","164","134","154","225","221","34677","89","19553","65","15124"
"188,116","188","116","94","271","360","25481","54","14146","40","11335"
"116,144","116","144","92","283","360","26059","41","11245","51","14814"
"144,62","144","62","87","309","360","26902","36","10710","51","16192"
"66,142","66","142","73","289","360","21069","38","10941","35","10128"
"152,96","152","96","62","315","360","19531","44","13904","18","5627"
"142,102","142","102","55","234","298","12851","27","6935","28","5916"
"174,72","174","72","49","330","360","16151","12","4114","37","12037"
"104,132","104","132","43","285","360","12245","29","8813","14","3432"
"126,108","126","108","34","296","360","10078","9","2132","25","7946"
"146,98","146","98","32","302","360","9652","18","6118","14","3534"
"116,188","116","188","29","317","360","9184","13","4410","16","4774"
"192,80","192","80","29","292","360","8470","19","5431","10","3039"
"150,116","150","116","26","271","360","7044","9","1614","17","5430"
"144,122","144","122","25","334","360","8350","9","2888","16","5462"
"116,142","116","142","25","330","360","8262","9","2614","16","5648"
"110,130","110","130","25","247","282","6180","20","4709","5","1471"
"114,130","114","130","25","222","252","5554","12","2592","13","2962"
"124,130","124","130","25","222","222","5551","3","752","22","4799"
"144,100","144","100","24","283","360","6785","18","5440","6","1345"
"90,146","90","146","22","316","360","6959","11","3960","11","2999"
"112,130","112","130","22","258","360","5672","15","4149","7","1523"
"144,72","144","72","21","325","360","6830","3","813","18","6017"
"193,80","193","80","19","328","360","6223","13","4407","6","1816"
"134,112","134","112","19","327","360","6206","11","3326","8","2880"
"94,184","94","184","19","321","360","6106","11","3226","8","2880"
"74,180","74","180","19","316","360","6002","3","1080","16","4922"
"126,120","126","120","19","219","226","4152","15","3346","4","806"
"138,124","138","124","18","277","360","4994","5","1090","13","3904"
"166,110","166","110","17","336","360","5718","14","5040","3","678"
"96,184","96","184","17","270","360","4584","14","3903","3","681"
"126,157","126","157","17","221","359","3753","9","1791","8","1962"
"155,74","155","74","16","310","360","4967","7","2248","9","2719"
"131,110","131","110","16","288","360","4603","5","1800","11","2803"
"134,114","134","114","16","273","360","4373","12","3212","4","1161"
"158,72","158","72","16","242","360","3872","7","1186","9","2686"
"115,149","115","149","16","238","360","3812","11","2937","5","875"
"64,178","64","178","15","342","360","5134","6","2160","9","2974"
"88,184","88","184","15","340","360","5097","8","2849","7","2248"
"113,151","113","151","15","289","360","4336","6","1823","9","2513"
"91,154","91","154","15","275","360","4130","2","672","13","3458"
"129,126","129","126","15","274","360","4115","5","1345","10","2770"
"102,134","102","134","15","238","360","3574","3","738","12","2836"
"142,74","142","74","14","326","360","4559","1","360","13","4199"
"97,140","97","140","14","312","360","4375","9","2946","5","1429"
"191,80","191","80","14","305","360","4276","6","1781","8","2495"
"118,188","118","188","14","290","360","4060","9","2672","5","1388"
"103,133","103","133","14","184","168","2580","6","898","8","1682"
"168,125","168","125","13","332","360","4310","12","4069","1","241"
"65,178","65","178","13","325","360","4223","5","1405","8","2818"
"159,72","159","72","13","319","360","4148","6","2160","7","1988"
"145,120","145","120","13","257","360","3343","8","1888","5","1455"
"113,130","113","130","13","233","278","3030","12","2775","1","255"
"130,118","130","118","13","210","158","2729","4","957","9","1772"
"129,118","129","118","13","199","205","2582","7","1473","6","1109"
"108,184","108","184","12","325","360","3899","11","3628","1","271"
"102,133","102","133","12","263","360","3156","8","2366","4","790"
"143,101","143","101","12","262","309","3138","11","2778","1","360"
"103,132","103","132","12","262","360","3143","8","2220","4","923"
"114,150","114","150","12","257","360","3087","10","2367","2","720"
"96,154","96","154","12","257","360","3086","9","2296","3","790"
"98,156","98","156","12","238","360","2851","1","104","11","2747"
"127,110","127","110","12","233","290","2801","10","2655","2","146"
"92,131","92","131","12","217","267","2603","6","1272","6","1331"
"144,120","144","120","11","325","360","3572","3","1080","8","2492"
"97,184","97","184","11","314","360","3455","7","2015","4","1440"
"184,80","184","80","11","313","360","3446","5","1367","6","2079"
"136,112","136","112","11","308","360","3391","8","2520","3","871"
"154,74","154","74","11","308","360","3388","4","1346","7","2042"
"147,84","147","84","11","294","360","3231","3","733","8","2498"
"180,76","180","76","11","254","360","2796","9","2585","2","211"
"108,143","108","143","11","213","182","2340","4","1043","7","1297"
"119,139","119","139","11","204","292","2247","5","1150","6","1097"
"148,118","148","118","11","166","72","1821","6","974","5","847"
"94,144","94","144","10","360","360","3600","8","2880","2","720"
"82,191","82","191","10","360","360","3600","9","3240","1","360"
"128,146","128","146","10","346","360","3460","7","2461","3","999"
"181,76","181","76","10","331","360","3306","5","1506","5","1800"
"153,66","153","66","10","297","360","2973","3","1080","7","1893"
"132,126","132","126","10","288","360","2882","2","720","8","2162"
"140,90","140","90","10","275","360","2750","1","360","9","2390"
"117,126","117","126","10","243","360","2431","9","2318","1","113"
"120,138","120","138","10","220","243","2198","6","1351","4","847"
"128,100","128","100","10","205","242","2052","3","456","7","1596"
"124,132","124","132","10","200","201","1998","4","629","6","1369"
"73,154","73","154","9","360","360","3240","0","0","9","3240"
"152,72","152","72","9","341","360","3065","6","1985","3","1080"
"181,77","181","77","9","322","360","2902","4","1440","5","1462"
"125,146","125","146","9","298","360","2678","5","1238","4","1440"
"134,81","134","81","9","292","360","2632","0","0","9","2632"
"130,110","130","110","9","267","360","2406","0","0","9","2406"
"86,116","86","116","9","265","297","2385","0","0","9","2385"
"114,151","114","151","9","261","360","2349","3","814","6","1535"
"179,75","179","75","9","239","297","2149","7","1668","2","481"
"129,97","129","97","9","230","268","2070","8","1956","1","114"
"118,126","118","126","9","222","360","1999","8","1996","1","3"
"129,110","129","110","9","202","279","1817","5","458","4","1359"
"128,98","128","98","9","149","140","1338","6","739","3","599"
"106,186","106","186","8","360","360","2880","5","1800","3","1080"
"128,110","128","110","8","334","360","2668","6","1948","2","720"
"75,181","75","181","8","334","360","2676","1","156","7","2520"
"164,112","164","112","8","319","360","2550","4","1110","4","1440"
"109,145","109","145","8","314","360","2513","3","1034","5","1479"
"130,126","130","126","8","289","360","2314","1","52","7","2262"
"145,84","145","84","8","285","360","2279","6","1589","2","690"
"160,120","160","120","8","276","360","2212","3","735","5","1477"
"70,118","70","118","8","275","360","2199","2","284","6","1915"
"117,158","117","158","8","269","317","2154","5","1465","3","689"
"151,129","151","129","8","259","292","2072","6","1352","2","720"
"136,124","136","124","8","257","360","2054","5","1210","3","844"
"130,96","130","96","8","257","344","2056","3","863","5","1193"
"98,138","98","138","8","254","360","2034","4","864","4","1170"
"107,144","107","144","8","252","360","2016","7","1656","1","360"
"108,144","108","144","8","244","360","1954","2","720","6","1234"
"117,159","117","159","8","228","256","1826","4","1125","4","701"
"136,94","136","94","8","203","212","1626","5","848","3","778"
"131,96","131","96","8","171","121","1365","2","411","6","954"
"148,108","148","108","7","360","360","2520","4","1440","3","1080"
"163,113","163","113","7","360","360","2520","4","1440","3","1080"
"80,186","80","186","7","360","360","2520","2","720","5","1800"
"91,146","91","146","7","334","360","2340","1","360","6","1980"
"114,162","114","162","7","331","360","2314","1","190","6","2124"
"123,146","123","146","7","320","360","2237","5","1800","2","437"
"93,145","93","145","7","320","360","2242","4","1440","3","802"
"138,70","138","70","7","313","360","2188","3","1080","4","1108"
"155,136","155","136","7","306","360","2142","4","1062","3","1080"
"107,143","107","143","7","300","360","2103","3","1080","4","1023"
"74,181","74","181","7","296","360","2072","0","0","7","2072"
"118,125","118","125","7","289","360","2023","6","1663","1","360"
"102,160","102","160","7","272","357","1906","4","1117","3","789"
"100,74","100","74","7","264","360","1845","4","1117","3","728"
"70,132","70","132","7","262","360","1832","1","113","6","1719"
"99,157","99","157","7","258","300","1803","1","300","6","1503"
"120,123","120","123","7","252","289","1764","6","1680","1","84"
"120,139","120","139","7","251","360","1759","1","360","6","1399"
"146,134","146","134","7","243","360","1702","7","1702","0","0"
"109,183","109","183","7","233","327","1630","7","1630","0","0"
"91,135","91","135","7","224","281","1571","1","281","6","1290"
"109,130","109","130","7","223","196","1562","6","1202","1","360"
"111,130","111","130","7","222","360","1555","3","433","4","1122"
"98,184","98","184","7","221","188","1547","4","757","3","790"
"112,102","112","102","7","215","252","1502","1","360","6","1142"
"163,72","163","72","7","209","207","1464","5","1079","2","385"
"151,72","151","72","7","208","298","1456","3","78","4","1378"
"138,104","138","104","7","197","126","1376","2","486","5","890"
"105,119","105","119","7","174","161","1215","1","161","6","1054"
"168,150","168","150","7","114","23","801","6","477","1","324"
"164,72","164","72","6","360","360","2160","3","1080","3","1080"
"89,183","89","183","6","360","360","2160","3","1080","3","1080"
"120,190","120","190","6","351","360","2104","6","2104","0","0"
"106,156","106","156","6","346","360","2075","1","360","5","1715"
"125,158","125","158","6","333","360","1997","2","720","4","1277"
"110,128","110","128","6","326","360","1957","3","877","3","1080"
"184,79","184","79","6","325","360","1948","2","720","4","1228"
"147,135","147","135","6","310","360","1863","4","1440","2","423"
"95,184","95","184","6","306","360","1839","4","1119","2","720"
"108,145","108","145","6","304","360","1826","0","0","6","1826"
"97,155","97","155","6","302","360","1813","4","1093","2","720"
"72,191","72","191","6","290","360","1738","4","1194","2","544"
"137,94","137","94","6","277","320","1660","6","1660","0","0"
"137,125","137","125","6","277","341","1662","1","322","5","1340"
"122,137","122","137","6","275","360","1648","1","360","5","1288"
"136,107","136","107","6","273","321","1639","3","722","3","917"
"110,156","110","156","6","269","360","1616","2","176","4","1440"
"146,120","146","120","6","267","360","1602","1","360","5","1242"
"151,128","151","128","6","256","271","1537","2","357","4","1180"
"168,107","168","107","6","255","360","1531","3","790","3","741"
"148,126","148","126","6","245","280","1470","6","1470","0","0"
"146,84","146","84","6","240","264","1437","2","203","4","1234"
"112,164","112","164","6","234","282","1401","4","944","2","457"
"102,159","102","159","6","232","257","1392","4","672","2","720"
"140,102","140","102","6","228","302","1365","5","1005","1","360"
"140,91","140","91","6","223","275","1338","3","746","3","592"
"160,72","160","72","6","222","276","1330","2","391","4","939"
"139,91","139","91","6","218","277","1306","4","752","2","554"
"126,90","126","90","6","216","265","1299","1","170","5","1129"
"108,142","108","142","6","203","179","1218","5","1146","1","72"
"114,149","114","149","6","197","204","1180","4","771","2","409"
"141,89","141","89","6","196","198","1174","3","407","3","767"
"121,137","121","137","6","195","192","1169","2","327","4","842"
"107,170","107","170","6","184","155","1105","2","310","4","795"
"124,131","124","131","6","148","58","889","3","85","3","804"
"115,150","115","150","6","129","54","774","4","390","2","384"
"167,150","167","150","6","57","53","340","6","340","0","0"
"147,134","147","134","5","360","360","1800","5","1800","0","0"
"91,145","91","145","5","357","360","1783","2","703","3","1080"
"113,152","113","152","5","355","360","1775","2","695","3","1080"
"123,158","123","158","5","345","360","1726","1","360","4","1366"
