"spot","x","y","count","avgSeconds","medianSeconds","totalSeconds","radiantCount","radiantTotal","direCount","direTotal"
"118,94","118","94","130","240","311","31205","70","17860","60","13345"
"136,156","136","156","129","257","310","33157","61","15839","68","17318"
"164,134","164","134","104","233","256","24224","62","14529","42","9695"
"94,120","94","120","99","236","290","23381","56","14935","43","8446"
"66,142","66","142","40","313","360","12521","20","6228","20","6293"
"152,96","152","96","38","277","360","10515","29","8358","9","2157"
"144,62","144","62","37","293","360","10823","16","4312","21","6511"
"188,116","188","116","35","275","360","9638","18","4381","17","5257"
"134,112","134","112","32","336","360","10739","21","7050","11","3689"
"116,144","116","144","27","258","360","6962","11","3040","16","3922"
"90,146","90","146","25","267","360","6669","13","3783","12","2886"
"116,142","116","142","23","290","360","6663","8","2210","15","4453"
"64,178","64","178","22","305","360","6715","7","2364","15","4351"
"150,116","150","116","21","252","360","5286","10","2219","11","3067"
"136,108","136","108","20","360","360","7200","14","5040","6","2160"
"193,80","193","80","20","290","360","5791","14","3802","6","1989"
"108,145","108","145","18","320","360","5752","4","1440","14","4312"
"142,102","142","102","18","300","360","5407","10","3021","8","2386"
"174,72","174","72","14","356","360","4990","6","2110","8","2880"
"118,188","118","188","14","336","360","4710","8","2715","6","1995"
"104,132","104","132","14","247","311","3456","7","2087","7","1369"
"126,108","126","108","13","296","360","3853","1","344","12","3509"
"94,184","94","184","13","284","360","3697","8","2442","5","1255"
"146,98","146","98","12","355","360","4257","9","3177","3","1080"
"144,122","144","122","10","302","360","3018","5","1460","5","1558"
"110,130","110","130","10","264","360","2639","6","1543","4","1096"
"102,134","102","134","10","258","334","2578","4","1389","6","1189"
"138,124","138","124","10","248","336","2485","1","360","9","2125"
"162,102","162","102","9","360","360","3240","8","2880","1","360"
"128,146","128","146","9","351","360","3163","9","3163","0","0"
"116,188","116","188","9","344","360","3094","2","612","7","2482"
"65,178","65","178","9","295","360","2659","2","706","7","1953"
"168,125","168","125","9","277","360","2489","7","2217","2","272"
"180,67","180","67","9","258","360","2322","4","867","5","1455"
"154,74","154","74","9","234","360","2104","2","173","7","1931"
"100,136","100","136","9","220","277","1980","7","1842","2","138"
"106,120","106","120","9","188","96","1689","2","450","7","1239"
"128,110","128","110","8","307","360","2453","8","2453","0","0"
