"spot","x","y","count","avgSeconds","medianSeconds","totalSeconds","radiantCount","radiantTotal","direCount","direTotal"
"118,94","118","94","146","242","306","35267","77","20809","69","14458"
"94,120","94","120","111","231","271","25653","49","11999","62","13654"
"164,134","164","134","101","218","210","22023","62","13365","39","8658"
"136,156","136","156","99","223","256","22048","38","7796","61","14252"
"116,144","116","144","47","261","360","12252","23","5803","24","6449"
"136,108","136","108","45","327","360","14704","38","13023","7","1681"
"66,142","66","142","42","259","360","10862","21","5260","21","5602"
"144,62","144","62","40","304","360","12142","18","5061","22","7081"
"116,142","116","142","39","323","360","12612","16","4796","23","7816"
"152,96","152","96","36","341","360","12273","26","8741","10","3532"
"134,112","134","112","32","314","360","10052","12","3782","20","6270"
"188,116","188","116","31","227","322","7042","20","4667","11","2375"
"100,136","100","136","25","262","360","6542","21","5646","4","896"
"90,146","90","146","24","324","360","7772","12","3983","12","3789"
"64,178","64","178","24","319","360","7660","7","2520","17","5140"
"126,108","126","108","23","304","360","6981","2","720","21","6261"
"150,116","150","116","22","257","360","5644","12","2827","10","2817"
"144,122","144","122","19","337","360","6412","8","2452","11","3960"
"128,146","128","146","17","333","360","5665","14","4585","3","1080"
"134,114","134","114","16","247","360","3946","11","2146","5","1800"
"103,133","103","133","14","279","360","3905","10","2915","4","990"
"174,72","174","72","13","345","360","4480","5","1800","8","2680"
"116,188","116","188","13","311","360","4040","6","1804","7","2236"
"118,188","118","188","13","280","360","3641","7","2039","6","1602"
"142,102","142","102","13","274","360","3565","10","2820","3","745"
"126,120","126","120","13","235","254","3061","11","2933","2","128"
"104,132","104","132","12","209","238","2510","7","2236","5","274"
"114,150","114","150","12","187","120","2244","9","2110","3","134"
"162,102","162","102","11","360","360","3960","9","3240","2","720"
"108,145","108","145","11","304","360","3341","7","2180","4","1161"
"193,80","193","80","11","289","360","3175","3","1080","8","2095"
"131,110","131","110","11","288","360","3164","2","570","9","2594"
"168,125","168","125","11","268","333","2944","11","2944","0","0"
"148,118","148","118","11","265","360","2914","8","2187","3","727"
"124,130","124","130","11","259","360","2848","5","1487","6","1361"
"166,110","166","110","11","256","360","2815","8","1735","3","1080"
"136,124","136","124","11","211","285","2322","5","849","6","1473"
"146,98","146","98","10","319","360","3189","8","2753","2","436"
"114,130","114","130","10","221","228","2213","6","1314","4","899"
"112,130","112","130","10","212","298","2124","7","1520","3","604"
"110,130","110","130","9","360","360","3240","6","2160","3","1080"
"94,184","94","184","9","332","360","2987","6","1907","3","1080"
"73,179","73","179","9","331","360","2982","4","1182","5","1800"
"144,72","144","72","9","320","360","2878","2","557","7","2321"
"146,84","146","84","9","299","360","2688","4","888","5","1800"
"138,124","138","124","9","232","360","2086","1","101","8","1985"
"128,110","128","110","9","228","311","2054","9","2054","0","0"
"119,139","119","139","9","208","269","1870","4","681","5","1189"
"158,72","158","72","8","318","360","2545","2","720","6","1825"
"106,120","106","120","8","318","360","2546","1","360","7","2186"
"152,72","152","72","8","303","360","2422","3","766","5","1656"
"109,130","109","130","8","289","360","2314","6","1810","2","504"
"74,180","74","180","8","287","360","2294","2","165","6","2129"
"131,145","131","145","8","273","360","2181","7","1821","1","360"
"121,137","121","137","8","256","337","2046","4","890","4","1156"
"113,151","113","151","8","240","293","1921","4","699","4","1222"
"105,119","105","119","8","227","248","1818","1","177","7","1641"
"118,125","118","125","8","158","119","1267","4","576","4","691"
"66,178","66","178","7","324","360","2271","4","1440","3","831"
"170,90","170","90","7","316","360","2210","6","1850","1","360"
"118,126","118","126","7","311","360","2178","6","1818","1","360"
"137,124","137","124","7","248","360","1739","2","720","5","1019"
"92,164","92","164","7","246","360","1719","2","720","5","999"
"86,116","86","116","7","224","360","1571","1","360","6","1211"
"154,74","154","74","7","221","360","1548","2","720","5","828"
"113,130","113","130","7","207","179","1451","5","1056","2","395"
"168,107","168","107","6","360","360","2160","2","720","4","1440"
"97,184","97","184","6","360","360","2160","4","1440","2","720"
"145,84","145","84","6","360","360","2160","4","1440","2","720"
"151,116","151","116","6","360","360","2160","1","360","5","1800"
"115,149","115","149","6","360","360","2160","3","1080","3","1080"
"142,74","142","74","6","360","360","2160","0","0","6","2160"
"82,192","82","192","6","339","360","2034","4","1440","2","594"
"111,130","111","130","6","328","360","1969","4","1249","2","720"
"163,113","163","113","6","322","360","1931","2","491","4","1440"
"127,110","127","110","6","309","360","1854","4","1134","2","720"
"128,98","128","98","6","304","360","1822","2","720","4","1102"
"130,96","130","96","6","303","360","1816","2","720","4","1096"
"107,170","107","170","6","299","360","1794","2","720","4","1074"
"94,142","94","142","6","258","310","1548","2","720","4","828"
"124,131","124","131","6","249","334","1495","2","668","4","827"
"131,126","131","126","6","204","213","1226","2","102","4","1124"
"141,89","141","89","6","201","231","1204","2","378","4","826"
"101,135","101","135","6","200","222","1202","2","720","4","482"
"124,133","124","133","6","154","74","923","2","412","4","511"
"136,86","136","86","5","360","360","1800","1","360","4","1440"
"97,155","97","155","5","360","360","1800","2","720","3","1080"
"98,156","98","156","5","360","360","1800","2","720","3","1080"
"126,90","126","90","5","360","360","1800","1","360","4","1440"
"110,181","110","181","5","358","360","1791","3","1071","2","720"
"144,120","144","120","5","353","360","1767","1","360","4","1407"
"134,81","134","81","5","351","360","1753","0","0","5","1753"
"102,160","102","160","5","344","360","1718","2","720","3","998"
"132,144","132","144","5","330","360","1649","5","1649","0","0"
"108,184","108","184","5","321","360","1607","4","1247","1","360"
"124,146","124","146","5","315","360","1575","2","556","3","1019"
"131,144","131","144","5","306","360","1532","4","1172","1","360"
"116,160","116","160","5","304","360","1522","4","1293","1","229"
"120,139","120","139","5","297","360","1486","0","0","5","1486"
"113,160","113","160","5","295","360","1473","1","56","4","1417"
"145,120","145","120","5","294","360","1469","3","1080","2","389"
"120,110","120","110","5","291","360","1454","1","360","4","1094"
"120,112","120","112","5","291","360","1456","1","360","4","1096"
"88,184","88","184","5","290","360","1450","2","720","3","730"
"129,118","129","118","5","287","360","1434","2","473","3","961"
"93,166","93","166","5","284","360","1422","2","427","3","995"
"129,97","129","97","5","283","336","1416","4","1211","1","205"
"138,125","138","125","5","281","360","1403","3","832","2","571"
"102,159","102","159","5","279","360","1394","4","1034","1","360"
"105,170","105","170","5","276","360","1378","0","0","5","1378"
"82,191","82","191","5","274","360","1369","2","456","3","913"
"160,120","160","120","5","273","360","1367","2","487","3","880"
"155,136","155","136","5","271","360","1354","5","1354","0","0"
"126,157","126","157","5","269","360","1343","3","623","2","720"
"160,72","160","72","5","262","360","1311","4","951","1","360"
"147,119","147","119","5","249","258","1246","4","886","1","360"
"128,100","128","100","5","235","344","1175","2","117","3","1058"
"164,113","164","113","5","228","360","1141","3","421","2","720"
"89,132","89","132","5","225","197","1126","2","720","3","406"
"159,120","159","120","5","221","272","1103","2","632","3","471"
"129,126","129","126","5","219","227","1093","1","76","4","1017"
"103,132","103","132","5","214","268","1071","2","628","3","443"
"129,110","129","110","5","210","169","1052","3","737","2","315"
"120,138","120","138","5","206","174","1029","3","826","2","203"
"130,126","130","126","5","192","255","959","2","364","3","595"
"102,134","102","134","5","182","172","908","3","535","2","373"
"85,103","85","103","5","140","97","701","0","0","5","701"
"122,137","122","137","5","120","90","600","0","0","5","600"
"100,135","100","135","5","103","65","515","0","0","5","515"
"149,127","149","127","5","78","27","390","5","390","0","0"
"155,74","155","74","4","360","360","1440","2","720","2","720"
"125,146","125","146","4","360","360","1440","0","0","4","1440"
"185,66","185","66","4","360","360","1440","2","720","2","720"
"110,142","110","142","4","360","360","1440","0","0","4","1440"
"107,184","107","184","4","360","360","1440","4","1440","0","0"
"140,102","140","102","4","360","360","1440","3","1080","1","360"
"116,158","116","158","4","360","360","1440","2","720","2","720"
"126,89","126","89","4","354","360","1416","2","696","2","720"
"102,158","102","158","4","342","360","1370","2","650","2","720"
"141,90","141","90","4","335","360","1340","2","620","2","720"
"114,161","114","161","4","322","360","1289","1","209","3","1080"
"146,72","146","72","4","308","360","1233","1","360","3","873"
"96,184","96","184","4","297","311","1189","4","1189","0","0"
"116,159","116","159","4","295","360","1179","3","1080","1","99"
"102,161","102","161","4","294","360","1175","1","95","3","1080"
"146,135","146","135","4","294","340","1178","3","1041","1","137"
"181,77","181","77","4","292","360","1168","3","1080","1","88"
"118,192","118","192","4","290","360","1158","4","1158","0","0"
"90,134","90","134","4","289","322","1155","2","511","2","644"
"112,163","112","163","4","288","360","1154","4","1154","0","0"
"110,166","110","166","4","283","360","1132","1","52","3","1080"
"126,158","126","158","4","280","309","1122","4","1122","0","0"
"126,139","126","139","4","280","360","1121","2","720","2","401"
"165,112","165","112","4","278","360","1112","3","752","1","360"
"138,104","138","104","4","278","351","1110","1","360","3","750"
"90,145","90","145","4","277","360","1108","1","360","3","748"
"82,190","82","190","4","276","360","1102","3","742","1","360"
"153,66","153","66","4","276","360","1104","1","360","3","744"
"110,173","110","173","4","272","360","1089","4","1089","0","0"
"121,122","121","122","4","264","338","1055","3","738","1","317"
"124,132","124","132","4","260","283","1039","2","720","2","319"
"130,110","130","110","4","255","263","1021","2","494","2","527"
"164,112","164","112","4","244","287","974","2","254","2","720"
"86,150","86","150","4","244","300","976","2","720","2","256"
"117,158","117","158","4","236","242","944","2","224","2","720"
"88,183","88","183","4","229","250","916","1","56","3","860"
"110,156","110","156","4","226","257","906","2","514","2","392"
"108,170","108","170","4","210","225","839","1","29","3","810"
"136,140","136","140","4","209","219","836","4","836","0","0"
"101,134","101","134","4","201","216","803","0","0","4","803"
"104,126","104","126","4","200","218","799","1","360","3","439"
"139,91","139","91","4","200","217","799","1","4","3","795"
"89,183","89","183","4","200","217","800","2","434","2","366"
"157,124","157","124","4","191","196","763","1","11","3","752"
"111,129","111","129","4","187","188","748","2","28","2","720"
"136,94","136","94","4","186","184","743","2","94","2","649"
"102,133","102","133","4","173","142","692","3","494","1","198"
"113,129","113","129","4","163","119","653","3","293","1","360"
"180,76","180","76","4","148","100","591","3","438","1","153"
"154,136","154","136","4","143","87","571","2","401","2","170"
"100,80","100","80","4","122","52","490","2","386","2","104"
"117,127","117","127","4","78","79","314","2","148","2","166"
