"spot","x","y","count","avgSeconds","medianSeconds","totalSeconds","radiantCount","radiantTotal","direCount","direTotal"
"94,120","94","120","148","237","297","35060","61","15625","87","19435"
"118,94","118","94","127","262","344","33329","59","17426","68","15903"
"164,134","164","134","109","215","199","23454","71","15389","38","8065"
"136,156","136","156","105","230","252","24110","52","12380","53","11730"
"116,144","116","144","62","283","360","17550","26","7476","36","10074"
"66,142","66","142","57","288","360","16442","33","10092","24","6350"
"188,116","188","116","53","252","360","13374","36","9149","17","4225"
"144,62","144","62","38","339","360","12888","13","4166","25","8722"
"134,112","134","112","37","323","360","11959","28","9715","9","2244"
"136,108","136","108","34","347","360","11795","24","8239","10","3556"
"152,96","152","96","31","333","360","10326","22","7321","9","3005"
"116,142","116","142","22","304","360","6692","8","2532","14","4160"
"90,146","90","146","21","329","360","6917","9","2597","12","4320"
"104,132","104","132","21","299","360","6273","19","6122","2","151"
"150,116","150","116","21","265","360","5570","9","2330","12","3240"
"144,122","144","122","19","331","360","6293","8","2880","11","3413"
"193,80","193","80","17","342","360","5811","12","4250","5","1561"
"126,108","126","108","17","305","360","5181","2","720","15","4461"
"110,130","110","130","16","338","360","5404","9","2884","7","2520"
"142,102","142","102","14","290","360","4060","9","2811","5","1249"
"166,110","166","110","13","316","360","4107","9","2950","4","1157"
"114,130","114","130","13","253","288","3291","10","2311","3","980"
"118,188","118","188","12","355","360","4263","6","2160","6","2103"
"154,74","154","74","12","304","360","3644","4","1440","8","2204"
"155,74","155","74","12","301","360","3612","6","1901","6","1711"
"143,101","143","101","12","238","331","2853","8","1992","4","861"
"103,133","103","133","12","221","273","2655","7","1456","5","1199"
"102,134","102","134","12","215","196","2577","7","1861","5","716"
"64,178","64","178","11","343","360","3773","3","1080","8","2693"
"174,72","174","72","11","318","360","3503","5","1526","6","1977"
"132,126","132","126","11","251","278","2764","2","638","9","2126"
"146,98","146","98","10","348","360","3479","10","3479","0","0"
"80,186","80","186","10","271","350","2709","6","1843","4","866"
"146,84","146","84","10","256","360","2556","5","1105","5","1451"
"96,184","96","184","9","360","360","3240","8","2880","1","360"
"136,124","136","124","9","337","360","3029","3","869","6","2160"
"116,188","116","188","9","291","360","2620","4","820","5","1800"
"101,135","101","135","9","259","360","2330","2","720","7","1610"
"138,124","138","124","9","254","360","2285","1","360","8","1925"
"102,158","102","158","8","332","360","2658","5","1677","3","981"
"73,179","73","179","8","310","360","2478","4","1038","4","1440"
"98,184","98","184","8","283","360","2261","5","1181","3","1080"
"151,116","151","116","8","264","293","2115","4","839","4","1276"
"118,126","118","126","8","260","360","2083","6","1862","2","221"
"74,180","74","180","7","355","360","2488","2","720","5","1768"
"144,72","144","72","7","315","360","2208","2","720","5","1488"
"114,162","114","162","7","311","360","2177","2","720","5","1457"
"124,130","124","130","7","310","360","2172","3","732","4","1440"
"88,132","88","132","7","304","360","2128","1","360","6","1768"
"65,178","65","178","7","295","360","2066","2","507","5","1559"
"115,149","115","149","7","289","360","2025","5","1305","2","720"
"114,150","114","150","7","284","360","1985","3","700","4","1285"
"192,80","192","80","7","283","360","1978","5","1406","2","572"
"106,170","106","170","7","282","360","1974","3","856","4","1118"
"110,181","110","181","7","277","360","1936","5","1553","2","383"
"126,157","126","157","7","271","360","1896","5","1454","2","442"
"164,113","164","113","7","270","360","1889","6","1529","1","360"
"128,146","128","146","7","269","360","1884","5","1164","2","720"
"168,125","168","125","7","259","360","1814","6","1750","1","64"
"86,116","86","116","7","219","133","1535","5","815","2","720"
"112,130","112","130","7","198","165","1386","4","1111","3","275"
"129,118","129","118","7","195","126","1365","4","519","3","846"
"98,156","98","156","6","360","360","2160","2","720","4","1440"
"114,161","114","161","6","335","360","2010","1","360","5","1650"
"109,130","109","130","6","328","360","1970","3","890","3","1080"
"113,151","113","151","6","327","360","1961","3","881","3","1080"
"178,74","178","74","6","311","360","1867","5","1507","1","360"
"180,76","180","76","6","309","360","1854","4","1134","2","720"
"66,178","66","178","6","307","360","1840","4","1440","2","400"
"147,119","147","119","6","304","360","1825","1","360","5","1465"
"105,119","105","119","6","304","360","1826","1","360","5","1466"
"106,120","106","120","6","304","360","1826","2","720","4","1106"
"130,118","130","118","6","302","360","1812","1","360","5","1452"
"88,184","88","184","6","300","360","1799","1","106","5","1693"
"110,173","110","173","6","288","360","1726","6","1726","0","0"
"134,114","134","114","6","286","355","1717","4","1007","2","710"
"117,159","117","159","6","282","360","1690","4","970","2","720"
"129,126","129","126","6","280","296","1677","0","0","6","1677"
"126,158","126","158","6","235","267","1409","5","1049","1","360"
"97,184","97","184","6","234","256","1406","4","1090","2","316"
"124,131","124","131","6","205","176","1228","1","55","5","1173"
"126,120","126","120","6","174","140","1047","3","305","3","742"
"92,143","92","143","6","116","74","698","3","585","3","113"
"159,98","159","98","5","360","360","1800","1","360","4","1440"
"144,100","144","100","5","360","360","1800","3","1080","2","720"
"110,182","110","182","5","360","360","1800","5","1800","0","0"
"138,92","138","92","5","360","360","1800","3","1080","2","720"
"109,183","109","183","5","360","360","1800","3","1080","2","720"
"136,94","136","94","5","347","360","1736","2","656","3","1080"
"158,72","158","72","5","346","360","1729","1","289","4","1440"
"126,89","126","89","5","334","360","1670","3","950","2","720"
"119,139","119","139","5","324","360","1619","3","1080","2","539"
"100,136","100","136","5","324","360","1622","2","542","3","1080"
"147,84","147","84","5","300","360","1502","1","360","4","1142"
"102,160","102","160","5","298","360","1489","4","1129","1","360"
"109,142","109","142","5","294","360","1468","2","720","3","748"
"164,72","164","72","5","293","360","1465","3","745","2","720"
"191,80","191","80","5","291","360","1454","3","734","2","720"
"94,184","94","184","5","291","360","1456","2","720","3","736"
"140,102","140","102","5","291","360","1454","2","374","3","1080"
"116,160","116","160","5","290","360","1452","3","1080","2","372"
"181,76","181","76","5","274","360","1372","0","0","5","1372"
"144,120","144","120","5","261","360","1307","1","360","4","947"
"121,108","121","108","5","257","360","1283","2","720","3","563"
"148,118","148","118","5","257","304","1283","2","434","3","849"
"133,126","133","126","5","256","360","1280","2","720","3","560"
"129,110","129","110","5","248","360","1242","2","509","3","733"
"116,159","116","159","5","248","360","1242","3","522","2","720"
"113,162","113","162","5","240","360","1198","3","478","2","720"
"123,116","123","116","5","237","360","1184","2","104","3","1080"
"128,98","128","98","5","233","186","1164","2","258","3","906"
"126,119","126","119","5","232","247","1158","5","1158","0","0"
"100,74","100","74","5","231","199","1156","1","144","4","1012"
"141,89","141","89","5","227","351","1135","1","360","4","775"
"126,146","126","146","5","215","310","1075","1","360","4","715"
"86,149","86","149","5","209","233","1044","3","613","2","431"
"133,115","133","115","5","205","139","1023","2","277","3","746"
"118,125","118","125","5","193","128","966","4","606","1","360"
"121,137","121","137","5","189","209","943","2","569","3","374"
"147,134","147","134","5","185","106","925","5","925","0","0"
"168,150","168","150","5","65","84","325","3","125","2","200"
"128,101","128","101","4","360","360","1440","1","360","3","1080"
"145,108","145","108","4","360","360","1440","4","1440","0","0"
"94,142","94","142","4","360","360","1440","3","1080","1","360"
"161,72","161","72","4","360","360","1440","2","720","2","720"
"142,122","142","122","4","360","360","1440","1","360","3","1080"
"88,183","88","183","4","360","360","1440","2","720","2","720"
"106,142","106","142","4","360","360","1440","2","720","2","720"
"146,120","146","120","4","360","360","1440","0","0","4","1440"
"91,154","91","154","4","360","360","1440","1","360","3","1080"
"184,80","184","80","4","360","360","1440","3","1080","1","360"
"72,191","72","191","4","360","360","1440","1","360","3","1080"
"185,65","185","65","4","360","360","1440","1","360","3","1080"
"185,67","185","67","4","360","360","1440","1","360","3","1080"
"82,192","82","192","4","360","360","1440","4","1440","0","0"
"75,190","75","190","4","360","360","1438","0","0","4","1438"
"125,158","125","158","4","360","360","1440","1","360","3","1080"
"141,90","141","90","4","350","360","1402","1","360","3","1042"
"180,100","180","100","4","349","360","1395","4","1395","0","0"
"106,186","106","186","4","322","360","1287","4","1287","0","0"
"114,151","114","151","4","321","360","1284","2","720","2","564"
"93,164","93","164","4","300","360","1201","0","0","4","1201"
