"spot","x","y","count","avgSeconds","medianSeconds","totalSeconds","radiantCount","radiantTotal","direCount","direTotal"
"118,94","118","94","184","249","360","45886","99","25205","85","20681"
"94,120","94","120","180","235","271","42298","98","26298","82","16000"
"136,156","136","156","143","235","264","33635","74","15329","69","18306"
"164,134","164","134","107","242","255","25897","73","17787","34","8110"
"134,112","134","112","68","325","360","22107","49","16196","19","5911"
"188,116","188","116","67","264","360","17703","36","9399","31","8304"
"90,146","90","146","56","242","360","13530","22","5455","34","8075"
"66,142","66","142","54","265","360","14289","28","6985","26","7304"
"152,96","152","96","53","276","360","14646","38","9980","15","4666"
"116,142","116","142","49","301","360","14732","20","5725","29","9007"
"144,62","144","62","44","290","360","12767","19","5539","25","7228"
"142,102","142","102","41","286","360","11723","18","5027","23","6696"
"174,72","174","72","37","349","360","12904","12","4080","25","8824"
"64,178","64","178","37","327","360","12100","16","5201","21","6899"
"116,144","116","144","37","227","287","8417","12","3428","25","4989"
"136,108","136","108","34","279","360","9490","26","7502","8","1988"
"193,80","193","80","27","285","360","7704","14","4393","13","3311"
"100,136","100","136","26","278","360","7229","13","3729","13","3500"
"128,146","128","146","26","263","360","6838","22","5398","4","1440"
"144,122","144","122","23","322","360","7408","6","1875","17","5533"
"144,120","144","120","23","285","360","6548","7","2056","16","4492"
"150,116","150","116","23","267","360","6131","10","2241","13","3890"
"146,98","146","98","18","302","360","5432","15","4591","3","841"
"108,145","108","145","18","269","360","4840","4","1069","14","3771"
"166,110","166","110","17","341","360","5797","13","4357","4","1440"
"124,130","124","130","17","259","360","4398","2","449","15","3949"
"138,124","138","124","17","237","360","4035","4","296","13","3739"
"109,130","109","130","16","360","360","5760","12","4320","4","1440"
"110,130","110","130","16","257","360","4112","14","3392","2","720"
"129,110","129","110","15","309","360","4637","12","3557","3","1080"
"97,184","97","184","15","274","360","4116","11","3018","4","1098"
"98,138","98","138","15","265","360","3975","14","3893","1","82"
"65,178","65","178","14","314","360","4390","7","2200","7","2190"
"82,192","82","192","14","301","360","4215","12","3642","2","573"
"158,72","158","72","14","292","360","4090","4","1440","10","2650"
"101,135","101","135","14","267","360","3743","4","1398","10","2345"
"113,130","113","130","14","251","339","3508","5","1294","9","2214"
"134,114","134","114","13","321","360","4178","10","3167","3","1011"
"126,108","126","108","13","276","360","3588","0","0","13","3588"
"170,90","170","90","13","260","360","3380","10","2858","3","522"
"113,151","113","151","13","221","360","2870","9","2133","4","737"
"102,134","102","134","13","193","124","2507","7","1962","6","545"
"126,157","126","157","12","287","360","3444","5","1552","7","1892"
"116,188","116","188","12","274","360","3291","5","936","7","2355"
"128,110","128","110","12","228","315","2734","9","2038","3","696"
"145,120","145","120","12","202","202","2426","6","951","6","1475"
"142,74","142","74","11","311","360","3419","0","0","11","3419"
"126,90","126","90","11","305","360","3357","5","1556","6","1801"
"144,72","144","72","11","295","360","3244","1","360","10","2884"
"143,101","143","101","11","295","360","3243","11","3243","0","0"
"136,94","136","94","11","291","360","3205","4","1112","7","2093"
"179,75","179","75","11","281","360","3086","7","2113","4","973"
"130,96","130","96","11","224","360","2461","7","1317","4","1144"
"118,188","118","188","10","336","360","3360","6","1955","4","1405"
"134,81","134","81","10","334","360","3335","0","0","10","3335"
"72,154","72","154","10","327","360","3272","0","0","10","3272"
"145,84","145","84","10","320","360","3198","7","2391","3","807"
"155,74","155","74","10","319","360","3188","3","1057","7","2131"
"162,102","162","102","10","310","360","3098","5","1800","5","1298"
"74,180","74","180","10","306","360","3062","2","720","8","2342"
"112,130","112","130","10","297","360","2966","7","2192","3","774"
"114,150","114","150","10","246","360","2463","5","895","5","1568"
"180,67","180","67","10","230","283","2298","5","1329","5","969"
"128,98","128","98","10","213","154","2127","8","1735","2","392"
"103,133","103","133","10","210","229","2101","7","1656","3","445"
"114,130","114","130","10","198","150","1985","6","1222","4","763"
"127,110","127","110","10","182","151","1822","6","705","4","1117"
"118,126","118","126","10","173","99","1731","8","1302","2","429"
"148,118","148","118","10","147","77","1472","9","1351","1","121"
"113,152","113","152","9","301","360","2712","9","2712","0","0"
"112,105","112","105","9","269","360","2420","2","720","7","1700"
"106,120","106","120","9","262","325","2359","3","1025","6","1334"
"98,156","98","156","9","256","360","2302","2","720","7","1582"
"163,113","163","113","9","252","360","2264","3","581","6","1683"
"105,170","105","170","9","250","360","2247","7","1527","2","720"
"102,160","102","160","9","247","360","2220","4","1094","5","1126"
"115,149","115","149","9","237","360","2129","4","818","5","1311"
"168,107","168","107","8","360","360","2880","3","1080","5","1800"
"141,89","141","89","8","342","360","2734","2","720","6","2014"
"111,130","111","130","8","341","360","2725","6","2130","2","595"
"184,80","184","80","8","336","360","2690","4","1250","4","1440"
"97,155","97","155","8","316","360","2524","4","1084","4","1440"
"125,146","125","146","8","311","360","2488","2","362","6","2126"
"154,74","154","74","8","311","360","2489","4","1364","4","1125"
"73,154","73","154","8","287","360","2296","0","0","8","2296"
"89,132","89","132","8","276","360","2207","3","982","5","1225"
"146,84","146","84","8","263","306","2105","1","360","7","1745"
"130,110","130","110","8","262","357","2092","4","1296","4","796"
"147,135","147","135","8","257","360","2056","8","2056","0","0"
"159,72","159","72","8","257","307","2058","5","1190","3","868"
"126,120","126","120","8","254","313","2036","7","1999","1","37"
"86,116","86","116","8","249","360","1992","4","552","4","1440"
"136,124","136","124","8","248","279","1987","2","236","6","1751"
"124,131","124","131","8","237","249","1893","3","725","5","1168"
"160,120","160","120","8","176","141","1406","5","926","3","480"
"100,74","100","74","8","147","79","1178","3","515","5","663"
"126,89","126","89","7","360","360","2520","2","720","5","1800"
"141,90","141","90","7","360","360","2520","4","1440","3","1080"
"192,80","192","80","7","360","360","2520","3","1080","4","1440"
"194,80","194","80","7","345","360","2416","7","2416","0","0"
"104,132","104","132","7","321","360","2249","4","1440","3","809"
"110,182","110","182","7","315","360","2206","7","2206","0","0"
"80,186","80","186","7","309","360","2164","2","720","5","1444"
"144,100","144","100","7","307","360","2151","7","2151","0","0"
"82,191","82","191","7","297","360","2079","2","720","5","1359"
"171,89","171","89","7","289","279","2024","7","2024","0","0"
"88,132","88","132","7","286","360","2003","3","1080","4","923"
"137,124","137","124","7","279","360","1954","1","360","6","1594"
"134,80","134","80","7","269","360","1881","1","360","6","1521"
"119,139","119","139","7","262","360","1837","2","720","5","1117"
"70,117","70","117","7","255","281","1783","7","1783","0","0"
"130,126","130","126","7","248","360","1737","1","90","6","1647"
"142,89","142","89","7","238","360","1666","4","1285","3","381"
"122,137","122","137","7","221","251","1547","2","720","5","827"
"75,190","75","190","7","220","360","1543","4","1095","3","448"
"106,170","106","170","7","215","201","1504","2","229","5","1275"
"120,138","120","138","7","172","79","1202","2","372","5","830"
"94,184","94","184","6","360","360","2160","1","360","5","1800"
"127,128","127","128","6","360","360","2160","4","1440","2","720"
"128,100","128","100","6","347","360","2080","3","1080","3","1000"
"142,88","142","88","6","338","360","2027","1","360","5","1667"
"81,167","81","167","6","316","360","1898","1","98","5","1800"
"73,179","73","179","6","312","360","1874","2","434","4","1440"
"106,186","106","186","6","310","360","1857","6","1857","0","0"
"76,191","76","191","6","307","360","1842","2","720","4","1122"
"130,131","130","131","6","306","360","1838","0","0","6","1838"
"124,132","124","132","6","306","356","1834","3","782","3","1052"
"129,97","129","97","6","304","360","1823","4","1342","2","481"
"123,146","123","146","6","263","337","1576","6","1576","0","0"
"117,158","117","158","6","259","360","1552","2","720","4","832"
"131,110","131","110","6","250","360","1497","0","0","6","1497"
"170,89","170","89","6","247","304","1481","5","1439","1","42"
"168,125","168","125","6","247","320","1480","6","1480","0","0"
"149,117","149","117","6","226","283","1353","3","273","3","1080"
"102,159","102","159","6","224","202","1342","4","1034","2","308"
"128,99","128","99","6","222","274","1334","5","1025","1","309"
"180,76","180","76","6","214","256","1287","5","1134","1","153"
"111,129","111","129","6","210","221","1262","4","846","2","416"
"126,158","126","158","6","204","221","1225","4","1162","2","63"
"159,119","159","119","6","199","227","1195","4","640","2","555"
"130,118","130","118","6","193","180","1157","3","647","3","510"
"106,142","106","142","6","190","178","1140","5","1082","1","58"
"155,136","155","136","6","122","64","733","3","144","3","589"
"142,122","142","122","5","360","360","1800","0","0","5","1800"
"70,154","70","154","5","360","360","1800","0","0","5","1800"
"172,85","172","85","5","360","360","1800","0","0","5","1800"
"178,74","178","74","5","350","360","1752","5","1752","0","0"
"128,106","128","106","5","341","360","1706","2","720","3","986"
"125,158","125","158","5","328","360","1641","0","0","5","1641"
"82,169","82","169","5","325","360","1625","4","1440","1","185"
"121,122","121","122","5","313","360","1566","5","1566","0","0"
"151,116","151","116","5","306","360","1532","2","452","3","1080"
"108,143","108","143","5","299","360","1494","4","1440","1","54"
"153,66","153","66","5","298","360","1491","1","360","4","1131"
"114,160","114","160","5","297","360","1483","2","403","3","1080"
"173,88","173","88","5","292","360","1461","4","1101","1","360"
"120,109","120","109","5","291","360","1455","2","720","3","735"
"132,110","132","110","5","290","360","1450","0","0","5","1450"
"114,149","114","149","5","289","360","1445","3","725","2","720"
"113,162","113","162","5","289","360","1446","3","726","2","720"
"70,146","70","146","5","289","360","1446","2","366","3","1080"
"131,132","131","132","5","289","360","1445","0","0","5","1445"
"92,144","92","144","5","286","360","1431","2","720","3","711"
"129,118","129","118","5","284","298","1421","1","360","4","1061"
"110,166","110","166","5","282","360","1409","3","768","2","641"
"75,159","75","159","5","274","360","1369","2","411","3","958"
"148,72","148","72","5","272","360","1358","1","360","4","998"
"96,184","96","184","5","270","360","1351","2","417","3","934"
"104,137","104","137","5","268","360","1339","4","1134","1","205"
"139,92","139","92","5","260","214","1302","3","755","2","547"
"124,158","124","158","5","258","359","1288","1","360","4","928"
"116,159","116","159","5","250","235","1252","3","799","2","453"
"138,104","138","104","5","248","360","1241","2","720","3","521"
"91,154","91","154","5","243","301","1216","0","0","5","1216"
"140,90","140","90","5","229","269","1144","3","852","2","292"
"92,143","92","143","5","229","360","1144","1","360","4","784"
"121,137","121","137","5","227","180","1134","4","774","1","360"
"118,174","118","174","5","225","360","1127","4","1109","1","18"
"136,86","136","86","5","222","360","1109","1","12","4","1097"
"88,184","88","184","5","208","136","1039","2","413","3","626"
"141,102","141","102","5","197","217","985","2","237","3","748"
"150,128","150","128","5","191","263","955","4","595","1","360"
"151,129","151","129","5","185","89","927","2","412","3","515"
"136,107","136","107","5","173","97","867","2","50","3","817"
"149,127","149","127","5","171","120","856","4","855","1","1"
"91,135","91","135","5","170","132","849","0","0","5","849"
"109,144","109","144","5","164","64","819","3","731","2","88"
"136,106","136","106","5","139","79","697","1","303","4","394"
"85,103","85","103","5","123","50","613","0","0","5","613"
"112,163","112","163","5","108","67","539","5","539","0","0"
"146,120","146","120","4","360","360","1440","1","360","3","1080"
"99,157","99","157","4","360","360","1440","0","0","4","1440"
"140,91","140","91","4","360","360","1440","2","720","2","720"
"146,112","146","112","4","360","360","1440","0","0","4","1440"
"108,130","108","130","4","360","360","1440","3","1080","1","360"
"71,154","71","154","4","360","360","1440","0","0","4","1440"
"182,68","182","68","4","360","360","1440","3","1080","1","360"
"125,140","125","140","4","360","360","1440","2","720","2","720"
"109,183","109","183","4","360","360","1440","4","1440","0","0"
"162,92","162","92","4","360","360","1440","4","1440","0","0"
"181,68","181","68","4","360","360","1440","2","720","2","720"
"184,66","184","66","4","360","360","1440","4","1440","0","0"
"67,178","67","178","4","360","360","1440","0","0","4","1440"
"138,103","138","103","4","360","360","1440","2","720","2","720"
"134,79","134","79","4","360","360","1440","0","0","4","1440"
"191,80","191","80","4","360","360","1440","3","1080","1","360"
"152,72","152","72","4","360","360","1440","1","360","3","1080"
"180,68","180","68","4","360","360","1440","2","720","2","720"
"107,188","107","188","4","353","360","1413","4","1413","0","0"
"68,132","68","132","4","347","360","1388","2","720","2","668"
"94,141","94","141","4","347","360","1387","3","1080","1","307"
"137,105","137","105","4","340","360","1359","1","360","3","999"
"97,183","97","183","4","336","360","1345","1","360","3","985"
"116,158","116","158","4","330","360","1320","2","600","2","720"
